,Hemicordylus capensis,Python bivittatus,Sceloporus undulatus,Lacerta agilis,Podarcis muralis,Podarcis raffoneae,Aspidoscelis marmoratus
Aspidoscelis inornatus,,,,,,,
Aspidoscelis gularis,,,,,,,
Aspidoscelis marmoratus,,,,,,,
Aspidoscelis septemvittatus,,,,,,,
