sample_ID,Ref_name,total_reads,n_mapped_reads,mapped_proportion,avg_depth,mapped_percentage
RLK019,Rana_temporaria,254270794,7440570,0.0292624,0.1179475,2.92624
RLK019,Salvator_merianae,254270794,65513845,0.257654,3.970873,25.7654
RLK019,Sceloporus_undulatus,254270794,17282824,0.0679701,0.820609,6.79701
RLK019,Sphenodon_punctatus,254270794,12841782,0.0505044,0.220104,5.05044
RLK019,Stegostoma_fasciatum,254270794,5689140,0.0223743,0.1263845,2.23743
RLK019,Tretioscincus_oriximinensis,254270794,40451927,0.15909,2.713246,15.909
RLK034,Alligator_mississippiensis,271025183,13155418,0.0485395,0.48029,4.85395
RLK034,Ambystoma_mexicanum,271025183,1497217,0.00552427,51.74002,0.552427
RLK034,Aspidoscelis_marmoratus,271025183,151871911,0.560361,26.14588,56.0361
RLK034,Bison_bison,271025183,11167012,0.0412029,0.350036,4.12029
RLK034,Calyptommatus_sinebrachiatus,271025183,47373394,0.174793,2.866249,17.4793
RLK034,Danio_rerio,271025183,6301696,0.0232513,0.2950282,2.32513
RLK034,Eptatretus_burgeri,271025183,6987338,0.0257811,0.2128803,2.57811
RLK034,Euleptes_europaea,271025183,26074589,0.0962073,1.340664,9.62073
RLK034,Falco_peregrinus,271025183,11442456,0.0422192,0.818699,4.22192
RLK034,Fundulus_heteroclitus,271025183,6832773,0.0252108,0.485874,2.52108
RLK034,Gekko_japonicus,271025183,27198044,0.100352,0.992397,10.0352
RLK034,Hemicordylus_capensis,271025183,25759101,0.0950432,1.079489,9.50432
RLK034,Homo_sapiens,271025183,12008058,0.0443061,0.3410863,4.43061
RLK034,Lacerta_agilis,271025183,24203128,0.0893021,1.633571,8.93021
RLK034,Latimeria_chalumnae,271025183,10410748,0.0384125,0.2705491,3.84125
RLK034,Malaclemys_terrapin,271025183,14573520,0.0537718,0.589487,5.37718
RLK034,Mus_musculus,271025183,12684033,0.0468002,0.400541,4.68002
RLK034,Petromyzon_marinus,271025183,5492642,0.0202662,0.461961,2.02662
RLK034,Podarcis_muralis,271025183,24386644,0.0899793,1.494216,8.99793
RLK034,Podarcis_raffoneae,271025183,24745583,0.0913036,1.555615,9.13036
RLK034,Pristis_pectinata,271025183,9568302,0.0353041,0.380844,3.53041
RLK034,Python_bivittatus,271025183,20458677,0.0754863,1.189846,7.54863
RLK034,Rana_temporaria,271025183,11608122,0.0428304,0.2330801,4.28304
RLK034,Salvator_merianae,271025183,74326173,0.274241,4.514858,27.4241
RLK034,Sceloporus_undulatus,271025183,21399146,0.0789563,1.023368,7.89563
RLK034,Sphenodon_punctatus,271025183,16930399,0.062468,0.3058669,6.2468
RLK034,Stegostoma_fasciatum,271025183,9870648,0.0364197,0.2897436,3.64197
RLK034,Tretioscincus_oriximinensis,271025183,46880689,0.172975,3.165047,17.2975
