Reference_id,Sample_id,Total_reads,Mapped_reads,Percent_mapped,Avg_depth
Petromyzon_marinus,RLK019,140983355,2751410,0.0195158499384555,0.178984
Petromyzon_marinus,RLK034,155586032,5492642,0.03530292487952903,0.461961
Podarcis_muralis,RLK004,159454441,21252465,0.13328236496091067,1.238011
Podarcis_muralis,KLC098,152137102,20508572,0.13480322505420145,1.205205
Podarcis_muralis,RLK019,149467530,19628982,0.13132606125223317,1.139473
Podarcis_muralis,RLK034,163427055,24386644,0.14922036011724008,1.494216
Podarcis_raffoneae,RLK004,159535393,21445069,0.13442201505718546,1.257269
Podarcis_raffoneae,KLC098,152165342,20756118,0.1364050297340376,1.240502
Podarcis_raffoneae,RLK019,149526147,19766000,0.13219092711591104,1.15445
Podarcis_raffoneae,RLK034,163437839,24745583,0.1514066947495555,1.555615
Pristis_pectinata,RLK004,151048188,6217078,0.04115956690589363,0.178785
Pristis_pectinata,KLC098,144305620,5939292,0.04115773176401585,0.1897782
Pristis_pectinata,RLK019,141892976,5774226,0.04069423422340511,0.1603522
Pristis_pectinata,RLK034,155758655,9568302,0.061430307034944544,0.380844
Python_bivittatus,RLK004,157712647,17325677,0.10985597749811402,0.9162460000000001
Python_bivittatus,KLC098,150554283,16792208,0.11153590363151608,0.905592
Python_bivittatus,RLK019,147898274,16016957,0.10829711914014628,0.8426530000000001
Python_bivittatus,RLK034,161941806,20458677,0.1263335114343482,1.189846
Rana_temporaria,RLK004,152192881,8065074,0.05299245238678411,0.1300877
Rana_temporaria,KLC098,145387736,8058818,0.05542983350397588,0.1380069
Rana_temporaria,RLK019,142890510,7440570,0.05207182758323139,0.11794750000000001
Rana_temporaria,RLK034,156866747,11608122,0.07399988985556002,0.2330801
Salvator_merianae,RLK004,174847779,70880852,0.4053860586928016,4.302502
Salvator_merianae,KLC098,166317786,67737761,0.40727911685885476,4.135047
Salvator_merianae,RLK019,163402116,65513845,0.40093633181592336,3.970873
Salvator_merianae,RLK034,177236907,74326173,0.4193605849824495,4.514858
Sceloporus_undulatus,RLK004,157759938,18617936,0.11801434658271734,0.894745
Sceloporus_undulatus,KLC098,150520271,17994363,0.11954777174165465,0.877633
Sceloporus_undulatus,RLK019,147987581,17282824,0.11678563757319609,0.820609
Sceloporus_undulatus,RLK034,161897429,21399146,0.1321771823813212,1.023368
